,시도별 교통사고(광역),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
0,"(단위 : 건, 명)",,,,,,,,,,,,,,,,
1,광역지자체,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
2,광역지자체,사고[건],사망[명],중상[명],부상[명],인구10만명당사고건수,자동차1만대당사고건수,도로1km당사고건수,인구10만명당사망자수,자동차1만대당사망자수,도로1km당사망자수,인구10만명당중상자수,자동차1만대당중상자수,도로1km당중상자수,인구10만명당부상자수,자동차1만대당부상자수,도로1km당부상자수
3,서울,33811,180,7809,45414,362.1,92.6,4,1.9,0.5,0.02,83.6,21.4,0.9,486.3,124.3,5.4
4,부산,11003,103,3319,14967,336.6,65.3,2.9,3.2,0.6,0.03,101.5,19.7,0.9,457.9,88.8,3.9
5,대구,10880,86,2685,15388,464.8,76.9,3.2,3.7,0.6,0.03,114.7,19,0.8,657.4,108.8,4.5
6,인천,7648,83,1732,10347,258.4,41.3,2.2,2.8,0.4,0.02,58.5,9.4,0.5,349.6,55.9,3
7,광주,6972,48,1094,10490,479,89.8,3.7,3.3,0.6,0.03,75.2,14.1,0.6,720.7,135.1,5.5
8,대전,7398,61,1559,10629,506.6,95.5,3.3,4.2,0.8,0.03,106.8,20.1,0.7,727.8,137.1,4.7
9,울산,3664,40,1257,5114,332.2,53.4,1.4,3.6,0.6,0.02,114,18.3,0.5,463.6,74.5,2
10,세종,1166,13,316,1724,297.4,53.5,2.8,3.3,0.6,0.03,80.6,14.5,0.7,439.7,79.1,4.1
11,경기,53164,502,12724,78234,385.4,74.1,3.2,3.6,0.7,0.03,92.2,17.7,0.8,567.1,109.1,4.8
12,강원,6079,140,1904,9354,398.5,59.3,0.6,9.2,1.4,0.01,124.8,18.6,0.2,613.3,91.2,1
13,충북,7939,154,2438,11736,485.4,70.4,1.1,9.4,1.4,0.02,149.1,21.6,0.4,717.5,104,1.7
14,충남,8606,198,2728,12392,393.7,55.5,1.1,9.1,1.3,0.03,124.8,17.6,0.4,566.9,79.9,1.6
15,전북,5830,171,1842,8538,330,47.1,0.7,9.7,1.4,0.02,104.3,14.9,0.2,483.3,69,1
16,전남,8287,227,2284,12594,471.6,52.9,0.8,12.9,1.4,0.02,130,14.6,0.2,716.7,80.4,1.2
17,경북,10777,263,3748,15596,411.9,54.3,0.8,10.1,1.3,0.02,143.2,18.9,0.3,596,78.6,1.2
18,경남,11122,237,4412,15398,339.4,48.6,0.9,7.2,1,0.02,134.7,19.3,0.3,469.9,67.3,1.2
19,제주,3950,45,1138,5884,580.6,51.7,1.2,6.6,0.6,0.01,167.3,14.9,0.4,864.9,77.1,1.8
20,출처) 한국도로교통공단.&#10;주)&#10;인구 : 통계청 추계인구 인용&#10;자동차 등록대수 : 이륜，건설기계，농기계 포함&#10;        국토해양부，농림수산식품부 자료 인용&#10;도로연장 : 국토해양부 자료 인용,,,,,,,,,,,,,,,,
