,시도별 교통사고(광역),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
0,"(단위 : 건, 명)",,,,,,,,,,,,,,,,
1,광역지자체,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
2,광역지자체,사고[건],사망[명],중상[명],부상[명],인구10만명당사고건수,자동차1만대당사고건수,도로1km당사고건수,인구10만명당사망자수,자동차1만대당사망자수,도로1km당사망자수,인구10만명당중상자수,자동차1만대당중상자수,도로1km당중상자수,인구10만명당부상자수,자동차1만대당부상자수,도로1km당부상자수
3,서울,33913,243,8162,45223,355.4,92.9,4.1,2.5,0.7,0.03,85.5,22.4,1,473.9,123.8,5.4
4,부산,11339,113,3528,15457,342.2,70,3.3,3.4,0.7,0.03,106.5,21.8,1,466.5,95.5,4.5
5,대구,12133,84,2977,17230,504.5,88.5,4,3.5,0.6,0.03,123.8,21.7,1,716.4,125.7,5.7
6,인천,7912,104,1822,10730,267.6,44.2,2.4,3.5,0.6,0.03,61.6,10.2,0.5,362.9,59.9,3.2
7,광주,7543,49,1183,11489,509.4,99.7,4,3.3,0.6,0.03,79.9,15.6,0.6,775.9,151.8,6.1
8,대전,7027,59,1570,10175,471.2,94.6,3.2,4,0.8,0.03,105.3,21.1,0.7,682.3,137,4.6
9,울산,3801,50,1239,5238,335.6,57.1,1.5,4.4,0.8,0.02,109.4,18.6,0.5,462.4,78.6,2.1
10,세종,788,16,278,1031,215.8,38.5,1.9,4.4,0.8,0.04,76.1,13.6,0.7,282.4,50.4,2.4
11,경기,53332,537,12944,78225,393.5,78,3.6,4,0.8,0.04,95.5,18.9,0.9,577.1,114.5,5.3
12,강원,6605,145,2070,10221,436.5,67,0.7,9.6,1.5,0.02,136.8,21,0.2,675.4,103.7,1
13,충북,7985,160,2677,12135,487.9,73.9,1.2,9.8,1.5,0.02,163.6,24.8,0.4,741.5,112.2,1.8
14,충남,8423,265,2911,12197,379.5,56.8,1.1,11.9,1.8,0.04,131.2,19.6,0.4,549.6,82.3,1.6
15,전북,6112,193,1981,8906,343.2,50.8,0.7,10.8,1.6,0.02,111.2,16.5,0.2,500.1,74,1
16,전남,8685,255,2467,13522,494.8,58.2,0.8,14.5,1.7,0.02,140.5,16.5,0.2,770.4,90.6,1.3
17,경북,12100,334,4273,17690,457.4,61.8,0.9,12.6,1.7,0.02,161.5,21.8,0.3,668.7,90.4,1.3
18,경남,11059,257,4634,15414,330.3,50.9,0.9,7.7,1.2,0.02,138.4,21.3,0.4,460.3,70.9,1.2
19,제주,4373,52,1189,6725,643.2,60.7,1.4,7.6,0.7,0.02,174.9,16.5,0.4,989.1,93.4,2.1
20,출처) 한국도로교통공단.&#10;주)&#10;인구 : 통계청 추계인구 인용&#10;자동차 등록대수 : 이륜，건설기계，농기계 포함&#10;        국토해양부，농림수산식품부 자료 인용&#10;도로연장 : 국토해양부 자료 인용,,,,,,,,,,,,,,,,
